📺央视频道,#genre#
北京文艺,http://114.244.226.38:4022/rtp/239.3.1.242:8000
北京影视,http://123.114.17.150:4000/rtp/239.3.1.158:8000
北京影视,http://123.113.183.24:8001/rtp/239.3.1.158:8000
北京影视,http://114.244.226.38:4022/rtp/239.3.1.158:8000
北京体育,http://123.114.17.150:4000/rtp/239.3.1.243:8000
北京体育,http://123.113.183.24:8001/rtp/239.3.1.243:8000
北京体育,http://114.244.226.38:4022/rtp/239.3.1.243:8000
纪实科教,http://123.114.17.150:4000/rtp/239.3.1.115:8000
纪实科教,http://123.113.183.24:8001/rtp/239.3.1.115:8000
纪实科教,http://114.244.226.38:4022/rtp/239.3.1.115:8000
北京财经,http://123.114.17.150:4000/rtp/239.3.1.116:8000
北京财经,http://123.113.183.24:8001/rtp/239.3.1.116:8000
北京财经,http://114.244.226.38:4022/rtp/239.3.1.116:8000
北京生活,http://123.114.17.150:4000/rtp/239.3.1.117:8000
北京生活,http://123.113.183.24:8001/rtp/239.3.1.117:8000
北京生活,http://114.244.226.38:4022/rtp/239.3.1.117:8000

👿广东频道,#genre#
广东珠江,http://rihou.cc:555/tv/[AtI]广东珠江
广东新闻,http://rihou.cc:555/tv/[AtI]广东新闻
广东民生,http://rihou.cc:555/tv/[AtI]广东民生
广东体育,http://rihou.cc:555/tv/[AtI]广东体育
大湾区台,http://rihou.cc:555/tv/[AtI]广东湾区
广东影视,http://rihou.cc:555/tv/[AtI]广东影视
广东经济,http://rihou.cc:555/tv/[AtI]广东经济
广东少儿,http://rihou.cc:555/tv/[AtI]广东少儿

广东珠江,http://59.35.185.47:8188/rtp/239.77.0.1:5146
广东珠江,http://113.66.40.167:10000/rtp/239.77.0.1:5146
广东珠江,http://14.21.241.112:8888/rtp/239.77.0.1:5146
广东珠江,http://125.90.252.52:4022/rtp/239.77.0.1:5146
广东新闻,http://59.35.185.47:8188/rtp/239.77.0.173:5146
广东新闻,http://113.66.40.167:10000/rtp/239.77.0.173:5146
广东新闻,http://125.90.252.52:4022/rtp/239.77.0.173:5146
广东新闻,http://14.21.241.112:8888/rtp/239.77.0.173:5146
广东民生,http://59.35.185.47:8188/rtp/239.77.0.225:5146
广东民生,http://113.66.40.167:10000/rtp/239.77.0.225:5146
广东民生,http://125.90.252.52:4022/rtp/239.77.0.225:5146
广东民生,http://14.21.241.112:8888/rtp/239.77.0.225:5146
广东体育,http://59.35.185.47:8188/rtp/239.77.0.168:5146
广东体育,http://113.66.40.167:10000/rtp/239.77.0.168:5146
广东体育,http://125.90.252.52:4022/rtp/239.77.0.168:5146
广东体育,http://14.21.241.112:8888/rtp/239.77.0.168:5146
广东影视,http://59.35.185.47:8188/rtp/239.77.0.217:5146
广东影视,http://113.66.40.167:10000/rtp/239.77.0.217:5146
广东影视,http://125.90.252.52:4022/rtp/239.77.0.217:5146
广东影视,http://14.21.241.112:8888/rtp/239.77.0.217:5146
